atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,prob_vitoria,prob_gols
51413,Walter,MIR,Goleiro,7,4.51,-0.66,2.47,18,-2.4,True,False,SAN,-0.047,neutro,2.505,2.19,1.0,0.477,0.5
148124,Vinicius,CHA,Zagueiro,5,1.63,0.0,0.1,2,0.0,False,True,SAO,0.865,valor_bom,1.104,0.1,0.25,0.264,0.458
146410,Marquinhos,BOT,Meia,6,0.85,0.0,0.0,1,0.0,False,True,CAP,1.875,valor_oculto,0.886,0.0,0.125,0.414,0.461
130438,Diego,INT,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,CAM,0.281,neutro,0.0,0.0,0.0,0.442,0.479
148109,Filipe Lima,REM,Atacante,6,1.0,0.0,0.0,0,0.0,False,False,FLU,0.539,valor_bom,0.0,0.0,0.0,0.313,0.527
141165,Enzo Vagner,CFC,Atacante,6,1.04,0.0,0.5,1,0.0,False,True,COR,1.619,valor_oculto,0.888,0.5,0.125,0.307,0.384
116065,Cuiabano,VAS,Lateral,7,13.58,0.0,7.66,13,0.0,False,False,PAL,0.752,valor_bom,6.724,5.43,1.0,0.351,0.504
143463,Wesley Natã,FLU,Atacante,6,0.8,0.0,-0.3,1,0.0,False,True,REM,2.005,valor_oculto,0.799,0.0,0.125,0.666,0.527
108162,Nardoni,GRE,Meia,5,5.95,-0.41,1.93,14,0.2,True,False,RBB,-0.32,neutro,2.715,1.57,1.0,0.145,0.504
148152,Ararat,CFC,Meia,6,4.0,0.0,0.0,0,0.0,False,True,COR,-2.546,armadilha_forte,0.0,0.0,0.0,0.307,0.384
93371,Rodrigo Rodrigues,CFC,Atacante,6,3.28,0.0,-0.9,1,0.0,False,True,COR,-1.56,armadilha_forte,0.732,0.0,0.125,0.307,0.384
97911,Lucas Silva,VIT,Atacante,6,2.8,0.0,-0.17,3,0.0,False,True,BAH,-1.211,armadilha_leve,0.634,0.0,0.375,0.377,0.479
99815,Arias,PAL,Meia,7,13.91,-1.26,7.58,18,0.9,True,True,VAS,1.77,valor_oculto,6.506,5.91,1.0,0.575,0.504
148206,Nadson,SAN,Atacante,6,1.0,0.0,0.0,0,0.0,False,True,MIR,0.539,valor_bom,0.0,0.0,0.0,0.499,0.5
124386,Kainã,CHA,Goleiro,6,1.0,0.0,0.0,0,0.0,False,True,SAO,0.281,neutro,0.0,0.0,0.0,0.264,0.458
148215,Djhordney,SAO,Meia,6,0.79,0.0,-0.2,2,0.0,False,False,CHA,1.828,valor_oculto,0.758,0.0,0.25,0.27,0.458
