atleta_id,nome,clube,posicao,status_id,preco,variacao,media,jogos,pontos_rodada,entrou_em_campo,mandante,adversario,residuo_z,armadilha_label,media_bayesiana,pb_media,confiabilidade,score_confronto_100,condicao_mando,pontos_esperados,oportunidade_confronto,vantagem_mando,time_momentum_of,time_momentum_def,adv_momentum_of,adv_momentum_def,forma_score_time,prob_vitoria,prob_gols
100596,Krovinovic,GRE,Meia,6,5.0,0.0,0.0,0,0.0,False,False,CAM,-3.258,armadilha_forte,0.0,0.0,0.0,62.2,neutro,1.44,0.95,-46.0,1.4,1.4,0.933,0.778,0.525,0.0,0.467
109461,Calebe,INT,Meia,6,5.63,0.0,0.5,1,0.0,False,True,REM,1.01,valor_bom,3.669,0.5,0.125,59.0,neutro,3.2,0.9,12.2,0.574,1.304,1.015,0.856,0.275,0.582,
147878,Alejandro,VIT,Meia,6,2.0,0.0,0.0,0,0.0,False,True,BOT,-0.865,armadilha_leve,0.0,0.0,0.0,46.1,neutro,0.77,0.825,30.9,0.2,1.067,0.6,0.509,0.175,0.382,
141344,Vitor Tissi,CFC,Meia,6,1.01,0.0,0.35,2,0.0,False,False,SAO,1.637,valor_oculto,0.89,0.35,0.25,33.2,desfavoravel,0.93,0.3,-17.5,0.489,1.214,0.646,1.176,0.4,0.0,0.481
142764,Franco Rossi,CHA,Atacante,6,3.17,0.17,1.2,1,1.2,True,True,BAH,-1.11,armadilha_leve,0.771,1.2,0.125,30.2,neutro,0.69,0.475,-26.7,0.63,1.074,0.607,0.352,0.125,0.275,
117314,Thiago Borbas,CAM,Atacante,6,3.5,-0.5,-0.3,1,-0.3,True,True,GRE,-0.013,neutro,1.955,0.0,0.125,71.7,neutro,3.13,0.475,46.0,0.933,0.778,1.4,1.4,0.65,0.519,0.467
141160,Zé Lucas,CRU,Meia,6,6.54,0.54,2.9,1,2.9,True,False,COR,0.902,valor_bom,3.936,2.9,0.125,37.5,desfavoravel,3.07,0.175,-7.8,1.027,0.568,1.65,0.44,0.75,0.0,
69012,Santos,CAP,Goleiro,6,9.22,0.0,4.25,19,0.0,False,True,RBB,-0.08,neutro,4.214,2.41,1.0,72.3,neutro,5.19,0.575,32.1,1.027,0.232,1.131,0.764,0.875,0.445,0.434
97810,Erick,VIT,Atacante,7,7.98,-0.23,4.29,17,1.3,True,True,BOT,0.443,neutro,4.472,2.17,1.0,48.9,neutro,2.66,0.825,30.9,0.2,1.067,0.6,0.509,0.175,0.382,
147201,João Kempes,INT,Meia,6,2.0,0.0,0.0,0,0.0,False,True,REM,-0.865,armadilha_leve,0.0,0.0,0.0,59.0,neutro,1.3,0.9,12.2,0.574,1.304,1.015,0.856,0.275,0.582,
