nome,clube,clube_id,posicao,status_id,status_label,preco,min_valorizar,media,media_bayesiana,variacao,jogos,pb_media,resiliencia_pct,confiabilidade,custo_beneficio,cb_rank,mandante,adversario,tendencia,residuo_z,armadilha_label,time_pos,adv_pos,vantagem_mando,oportunidade_confronto,time_momentum_of,time_momentum_def,forma_score_time,sequencia_time,adv_momentum_of,adv_momentum_def,score_confronto_z,score_confronto_100
JP Chermont,CFC,294,Lateral,7,Provável,5.46,12.6,4.9,4.537,-0.72,6,2.57,0.524,0.75,0.623,9,True,FLU,baixa,1.046,valor_bom,,,,,,,,,,,0.0,50.0
Paulinho,INT,285,Meia,7,Provável,4.43,10.2,2.69,2.732,-0.96,8,2.69,1.0,1.0,0.617,8,False,COR,baixa,0.726,valor_bom,,,,,,,,,,,0.0,50.0
Galeano,MIR,2305,Atacante,7,Provável,5.03,11.6,1.25,2.391,0.14,6,1.25,1.0,0.75,0.357,67,True,RBB,estavel,-0.017,neutro,,,,,,,,,,,0.0,50.0
Lucas Oliveira,MIR,2305,Zagueiro,7,Provável,4.0,11.2,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81,True,RBB,estavel,-1.543,armadilha_forte,,,,,,,,,,,0.0,50.0
Patrick,REM,364,Meia,7,Provável,3.54,9.9,1.27,2.13,0.0,6,1.27,1.0,0.75,0.451,41,False,GRE,estavel,0.361,neutro,,,,,,,,,,,0.0,50.0
Marllon,REM,364,Zagueiro,7,Provável,4.86,11.2,2.53,2.797,-0.34,9,2.53,1.0,1.0,0.576,10,False,GRE,estavel,0.695,valor_bom,,,,,,,,,,,0.0,50.0
Bruno Pacheco,CHA,315,Lateral,7,Provável,5.71,13.1,0.5,3.846,0.0,1,0.5,1.0,0.125,0.084,89,True,VIT,estavel,0.424,neutro,,,,,,,,,,,0.0,50.0
Victor Hugo,CAM,282,Meia,7,Provável,6.36,14.6,3.79,3.312,-0.49,9,2.12,0.559,1.0,0.521,20,True,CAP,estavel,0.754,valor_bom,,,,,,,,,,,0.0,50.0
Gerson,CRU,283,Meia,7,Provável,8.2,16.4,2.66,2.717,-0.13,8,2.66,1.0,1.0,0.331,99,False,SAO,estavel,-0.423,neutro,,,,,,,,,,,0.0,50.0
Walter,MIR,2305,Goleiro,7,Provável,5.13,11.8,2.93,3.452,-1.01,7,2.93,1.0,0.875,0.589,3,True,RBB,baixa,1.264,valor_bom,,,,,,,,,,,0.0,50.0
Villagra,INT,285,Meia,7,Provável,6.34,14.6,2.15,2.567,-0.58,4,2.15,1.0,0.5,0.202,151,False,COR,baixa,-0.021,neutro,,,,,,,,,,,0.0,50.0
Luiz Gustavo,CAP,293,Meia,7,Provável,5.99,13.8,3.17,2.944,0.05,6,2.34,0.738,0.75,0.369,79,False,CAM,estavel,0.479,neutro,,,,,,,,,,,0.0,50.0
Picco,REM,364,Meia,7,Provável,7.96,18.3,4.56,3.667,1.72,8,3.93,0.862,1.0,0.461,32,False,GRE,alta,0.646,valor_bom,,,,,,,,,,,0.0,50.0
Matheus Pereira,COR,264,Meia,7,Provável,4.23,9.7,1.34,2.223,-0.15,5,1.34,1.0,0.625,0.328,101,True,INT,estavel,0.252,neutro,,,,,,,,,,,0.0,50.0
Arthur,PAL,275,Lateral,7,Provável,2.03,5.7,2.02,3.401,-0.3,5,1.42,0.703,0.625,1.047,1,False,BAH,estavel,1.291,valor_bom,,,,,,,,,,,0.0,50.0
Luciano Juba,BAH,265,Lateral,7,Provável,12.62,25.2,8.06,6.162,3.21,8,3.69,0.458,1.0,0.488,17,True,PAL,alta,-0.05,neutro,,,,,,,,,,,0.0,50.0
Herrera,RBB,280,Atacante,7,Provável,5.25,12.1,3.1,3.178,0.21,7,1.96,0.632,0.875,0.53,17,False,MIR,estavel,0.623,valor_bom,,,,,,,,,,,0.0,50.0
Cuiabano,VAS,267,Lateral,7,Provável,14.32,28.6,10.34,6.601,0.0,5,5.14,0.497,0.625,0.288,58,True,BOT,estavel,-0.268,neutro,,,,,,,,,,,0.0,50.0
Arias,PAL,275,Meia,7,Provável,15.59,28.1,8.47,5.216,-1.11,6,6.8,0.803,0.75,0.251,132,False,BAH,baixa,-0.021,neutro,,,,,,,,,,,0.0,50.0
Nardoni,GRE,284,Meia,7,Provável,7.6,17.5,2.7,2.743,0.16,6,1.87,0.693,0.75,0.271,126,True,REM,estavel,-0.215,neutro,,,,,,,,,,,0.0,50.0
Matheus Bahia,INT,285,Lateral,7,Provável,6.77,15.6,2.1,3.674,0.0,3,1.1,0.524,0.375,0.204,68,False,COR,estavel,-0.059,neutro,,,,,,,,,,,0.0,50.0
Oliva,SAN,277,Meia,7,Provável,7.16,16.5,4.62,3.39,-1.42,4,4.62,1.0,0.5,0.237,142,False,FLA,baixa,0.596,valor_bom,,,,,,,,,,,0.0,50.0
Eduardo Domínguez,CAM,282,Técnico,7,Provável,12.29,24.6,6.89,6.013,1.55,5,6.89,1.0,0.625,0.306,15,True,CAP,alta,-0.221,neutro,,,,,,,,,,,0.0,50.0
Tomás Pérez,CAM,282,Meia,7,Provável,4.74,10.9,2.38,2.643,-0.62,4,2.38,1.0,0.5,0.279,119,True,CAP,baixa,0.539,valor_bom,,,,,,,,,,,0.0,50.0
Lucas Veríssimo,SAN,277,Zagueiro,7,Provável,11.5,23.0,8.3,4.137,2.14,2,5.3,0.639,0.25,0.09,74,False,FLA,alta,-0.678,armadilha_leve,,,,,,,,,,,0.0,50.0
Tchamba,REM,364,Zagueiro,7,Provável,4.38,10.1,2.2,2.752,-0.98,5,2.2,1.0,0.625,0.393,31,False,GRE,baixa,0.841,valor_bom,,,,,,,,,,,0.0,50.0
Leonardo Jardim,FLA,262,Técnico,7,Provável,12.7,25.4,7.15,6.113,-1.44,5,7.15,1.0,0.625,0.301,16,True,SAN,baixa,-0.279,neutro,,,,,,,,,,,0.0,50.0
Rodrigo Castillo,FLU,266,Atacante,7,Provável,8.54,17.1,4.56,3.751,0.06,5,1.36,0.298,0.625,0.275,91,False,CFC,estavel,0.258,neutro,,,,,,,,,,,0.0,50.0
Renato Gaúcho,VAS,267,Técnico,7,Provável,10.2,20.4,5.73,5.567,-0.77,5,5.73,1.0,0.625,0.341,13,True,BOT,baixa,0.137,neutro,,,,,,,,,,,0.0,50.0
Roger Machado,SAO,276,Técnico,7,Provável,10.73,21.5,5.17,5.352,-0.7,5,5.17,1.0,0.625,0.312,14,True,CRU,baixa,-0.285,neutro,,,,,,,,,,,0.0,50.0
Lingard,COR,264,Atacante,7,Provável,6.22,14.3,2.0,3.108,0.22,1,2.0,1.0,0.125,0.062,141,True,INT,estavel,0.303,neutro,,,,,,,,,,,0.0,50.0
Léo Condé,REM,364,Técnico,7,Provável,7.46,17.2,4.1,4.94,-0.7,5,4.1,1.0,0.625,0.414,12,False,GRE,baixa,0.563,valor_bom,,,,,,,,,,,0.0,50.0
Bernardo Zortea,GRE,284,Meia,7,Provável,0.91,2.5,0.0,2.467,-0.09,1,0.0,0.0,0.125,0.339,95,True,REM,estavel,1.505,valor_oculto,,,,,,,,,,,0.0,50.0
Ryan Augusto,RBB,280,Lateral,7,Provável,2.04,5.7,1.95,3.802,0.0,2,1.95,1.0,0.25,0.466,20,False,MIR,estavel,1.601,valor_oculto,,,,,,,,,,,0.0,50.0
Pedro Gabriel,GRE,284,Lateral,7,Provável,2.67,7.5,2.2,4.035,0.67,1,2.2,1.0,0.125,0.189,72,True,REM,alta,1.574,valor_oculto,,,,,,,,,,,0.0,50.0
Cuca,SAN,277,Técnico,7,Provável,10.64,21.3,6.59,5.69,1.28,2,6.59,1.0,0.25,0.134,17,False,FLA,alta,0.091,neutro,,,,,,,,,,,0.0,50.0
Gabriel Taliari,REM,364,Atacante,7,Provável,9.61,19.2,8.13,4.578,-1.3,3,2.8,0.344,0.375,0.179,115,False,GRE,baixa,0.708,valor_bom,,,,,,,,,,,0.0,50.0
Zé Vitor,VIT,287,Meia,7,Provável,4.67,10.7,5.0,3.022,1.67,1,5.0,1.0,0.125,0.081,179,False,CHA,alta,0.958,valor_bom,,,,,,,,,,,0.0,50.0
