atleta_id,nome,clube_id,clube,posicao_id,pontos,preco,variacao,scout_DS,scout_FC,scout_I,scout_FS,scout_SG,scout_CA,scout_FD,scout_FF,scout_PP,scout_G,scout_DE,scout_GS,scout_A,scout_GC,scout_PC,scout_FT,scout_V,scout_CV,scout_DP,scout_PS
95556,Raniele,264,COR,4,,,,4.0,3.0,,,,,,1.0,,,,,,,,,,,,
95620,Bruno Leonardo,315,CHA,3,,,,,3.0,,,,,,,,,,,,,,,,,,
95799,Artur,276,SAO,5,,,,,1.0,,4.0,,,,,,,,,1.0,,,,,,,1.0
96591,Renan Lodi,282,CAM,2,,,,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,
96610,Matheus Pereira,283,CRU,4,,,,,1.0,,8.0,,,1.0,,,,,,,,,,,,,
96793,Camutanga,287,VIT,3,,,,,,,1.0,,,,,,,,,,,,,,,,
97321,Alesson,2305,MIR,5,,,,1.0,,1.0,3.0,,,,,,,,,,,,,,,,
97341,Rogério Ceni,265,BAH,6,,,,,,,,,,,,,,,,,,,,,,,
97460,João Victor,2305,MIR,3,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
97520,Shaylon,2305,MIR,4,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,
97653,Murilo,275,PAL,3,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
97795,Marcelinho,364,REM,2,,,,3.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,
97810,Erick,287,VIT,5,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,
97867,Léo Ortiz,262,FLA,3,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
97878,Jacy,294,CFC,3,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,,,
97899,Matheus Bahia,285,INT,2,,,,,3.0,,,1.0,,,,,,,,,,,,,,,
97969,Marcos Vinícius,315,CHA,2,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,
98022,Erick,265,BAH,4,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
98224,Jáderson,364,REM,4,,,,,,,,,,,,,,,,,,,,,,,
98225,Pedro Raul,264,COR,5,,,,,1.0,,,,,,,,,,,,,,,,,,
